NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ENSINO,TP_ESCOLA,TP_LOCALIZACAO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q008,Q009,Q010,Q011,Q022,Q024,MEDIA_NOTAS,Q025
17,F,1,1,1,2,1,397.7,479,506,445,360,B,B,5,B,B,D,A,B,E,A,437.54,B
17,M,1,1,1,2,1,616,581.2,586.8,551.5,560,C,C,4,D,B,D,A,C,D,A,579.1,B
18,M,1,3,1,2,1,372.3,524.1,445.5,560.6,560,C,F,4,E,B,D,A,A,C,B,492.5,B
17,F,1,3,1,2,1,353.3,426.9,391.7,406.4,740,C,E,6,C,B,D,A,A,E,B,463.66,B
16,F,1,3,1,2,1,449.1,531.2,507.6,553.9,900,C,B,4,B,B,C,A,A,C,A,588.36,B
17,F,1,2,1,2,1,443.5,418.6,460.6,500.9,600,B,B,4,B,B,B,A,A,B,A,484.72,A
19,F,1,3,1,2,1,484.1,567.9,546.5,578.9,620,B,D,6,C,C,C,A,B,E,B,559.48,B
17,F,1,2,1,2,1,529.1,555.1,550.6,558.7,760,B,C,2,B,B,C,A,A,B,A,590.7,B
18,M,1,1,1,2,1,389.7,509.2,486.5,474.5,460,C,E,4,B,A,B,B,A,B,A,463.98,B
18,M,1,3,1,2,1,480.4,504.9,526.7,446.9,640,E,E,4,B,B,C,A,A,B,A,519.78,B
17,F,1,1,1,2,1,369,378.5,487.6,361.7,520,A,B,3,C,B,C,B,B,B,A,423.36,B
19,M,1,3,1,2,1,427.5,401.7,417.4,374.3,520,A,D,4,B,C,E,A,A,B,A,428.18,B
19,M,1,1,1,2,1,400.7,400.8,507.9,414.1,420,C,E,4,C,B,C,A,B,C,A,428.7,B
17,M,1,1,1,2,1,495.1,471.3,481.3,630.3,740,B,A,3,C,B,C,A,B,C,B,563.6,B
17,F,1,3,1,2,1,399.3,403.2,459,451.3,520,H,D,7,B,B,C,A,A,B,A,446.56,A
17,F,1,3,1,2,1,404.4,616,622.5,667.9,680,E,E,4,C,B,C,A,A,C,A,598.16,B
18,M,1,3,1,2,1,378.7,424.5,489.9,473.4,640,B,A,3,A,B,C,A,B,B,A,481.3,B
17,F,1,3,1,2,1,385.9,366.7,479.9,572.8,580,B,G,5,C,B,C,A,A,B,A,477.06,A
18,M,1,1,1,2,,495.2,589.5,563.1,652.4,760,E,E,4,B,B,C,A,A,C,A,612.04,B
16,F,0,0,1,2,1,403.9,537.7,542.1,475.4,800,E,G,4,C,B,D,B,B,B,A,551.82,B
17,F,1,3,1,2,1,477.3,562,558.4,459.1,820,B,E,4,C,B,C,B,A,C,B,575.36,B
18,M,1,4,1,3,1,569.7,604.6,587,773,860,F,E,4,N,C,D,B,B,E,A,678.86,B
18,F,1,2,1,2,1,352.5,431.6,463.1,373.8,520,C,D,3,B,C,D,A,A,C,B,428.2,B
17,M,1,1,1,2,1,389.1,342.6,495.3,481.7,580,F,F,2,B,B,C,A,A,C,A,457.74,B
18,F,1,3,,2,1,404.8,498.7,506,444.1,660,D,D,5,B,B,C,A,B,D,A,502.72,B
17,M,1,2,1,2,1,402.5,446.5,482.7,483.5,420,E,E,5,B,B,C,A,B,B,B,447.04,B
17,M,1,3,1,2,1,598.7,595.8,594,702.7,580,G,E,4,L,B,C,B,B,E,A,614.24,B
18,F,0,0,1,2,,476.7,583.6,513.1,466.7,700,B,F,6,A,B,C,A,A,B,A,548.02,B
17,M,1,3,1,2,1,570.8,561.1,582,611.2,640,F,C,3,B,B,C,A,A,B,A,593.02,B
19,M,2,3,1,2,,399.8,470.8,470.8,467.3,520,H,B,4,A,B,C,A,B,C,A,465.74,B
17,F,1,3,1,2,1,461.5,511.9,563.5,491.1,680,H,E,3,C,C,D,A,A,D,B,541.6,B
20,M,1,0,1,2,,453.5,531.1,520.8,538.8,660,B,B,5,B,B,C,A,A,B,A,540.84,A
19,M,1,3,1,3,1,344,351.5,463.4,456.3,440,D,C,3,C,B,C,A,A,C,A,411.04,B
18,M,1,3,1,2,1,528.4,474.2,505,642.9,560,B,G,4,C,B,D,B,A,D,A,542.1,B
18,F,1,1,1,2,1,404.5,444.6,513.8,442.8,540,B,F,4,B,B,C,A,A,C,A,469.14,B
17,F,1,1,1,2,1,545.5,505.9,563,522,900,A,C,3,B,B,D,A,A,C,B,607.28,B
28,F,1,3,1,2,1,383.5,379.3,405.1,448.7,380,H,D,2,A,B,B,A,A,B,A,399.32,A
18,F,1,1,,2,,442.9,393.5,483.1,565.7,540,B,B,4,C,B,D,A,B,B,A,485.04,A
17,F,1,3,,2,1,446.1,533.8,584.5,411.8,640,A,A,4,B,B,B,A,A,B,A,523.24,B
18,F,1,1,,2,1,496.4,398.5,531.2,516.8,500,H,E,6,B,B,C,A,B,B,A,488.58,A
19,F,1,0,1,2,1,437.1,452.8,548.5,414,600,B,C,5,C,B,D,A,A,C,A,490.48,A
18,F,1,3,1,2,1,441.2,511.6,465.5,462.4,800,C,E,4,B,B,D,A,A,D,B,536.14,B
17,F,0,3,1,2,1,426.1,544.4,544.3,420.9,0,E,E,3,A,B,C,A,A,B,A,387.14,A
17,F,1,2,1,2,1,402.5,483.8,497.1,409.9,560,B,D,4,B,B,C,A,B,B,A,470.66,B
17,M,1,3,1,2,1,548.3,590.4,595.8,674.2,940,B,C,3,B,B,D,A,A,C,B,669.74,B
18,M,1,1,1,2,,401.6,525.8,533,435.2,540,E,D,3,B,B,D,A,B,D,A,487.12,B
16,F,1,3,1,3,1,511.4,493.5,527,502.8,620,B,E,4,B,B,C,B,A,E,B,530.94,B
17,M,1,3,1,2,1,575.3,564,547.7,674.3,760,B,D,4,A,B,C,A,A,C,A,624.26,A
20,F,1,3,1,2,1,447.4,0,0,497.8,640,A,B,6,B,B,C,A,A,C,A,317.04,B
19,M,1,2,1,2,,430.6,441.2,403.3,375.4,500,H,B,2,A,B,A,A,A,B,A,430.1,B
17,F,1,3,1,2,1,545,578.4,526,380,760,G,E,5,G,B,C,B,B,C,B,557.88,B
18,M,1,2,1,2,1,439.7,384.5,398.1,533.9,0,H,H,3,C,B,C,A,A,C,A,351.24,B
19,M,1,3,1,2,1,407,347.8,388.5,463.4,640,A,A,4,B,A,C,A,A,B,A,449.34,A
17,F,1,1,1,2,1,457.8,525.6,518.8,572.3,640,B,B,3,B,B,C,A,A,B,B,542.9,B
17,F,1,3,1,2,1,495.2,591.4,594.8,605.8,720,D,D,5,C,B,C,B,B,B,B,601.44,B
18,F,1,4,1,2,1,566.1,533.2,525.5,677.1,600,C,E,2,C,B,C,A,A,C,B,580.38,B
17,M,1,3,1,2,1,498.7,571.4,583.7,631.9,600,B,D,5,E,D,E,B,B,D,A,577.14,B
17,F,1,3,1,2,1,398,468.8,508.2,510.3,680,E,E,2,C,C,C,A,A,C,A,513.06,B
19,M,1,3,1,2,,484,470,506.9,419.4,580,C,C,4,B,B,B,A,A,C,B,492.06,B
17,F,1,0,1,2,,422,435,472.9,418.9,680,E,C,4,B,C,D,A,A,B,B,485.76,B
24,M,1,3,1,2,1,439.3,444.2,435.7,453.8,560,B,B,5,B,B,D,A,A,C,A,466.6,A
17,F,1,2,1,2,1,426.1,438.1,512.1,476.2,480,B,B,3,B,B,C,A,A,C,A,466.5,B
22,F,1,1,,2,,431.7,439.2,446.5,436.5,340,C,C,4,E,B,B,B,C,D,A,418.78,B
17,F,1,2,1,3,,394.8,430.5,489.2,548.7,580,D,E,4,C,C,C,B,A,D,A,488.64,B
17,F,1,3,1,2,1,534.9,538.3,539.6,627.7,760,E,C,5,C,B,D,B,B,D,A,600.1,B
17,F,1,2,1,2,1,423.6,527.6,541,481.7,760,B,B,4,C,B,C,A,A,C,A,546.78,B
18,M,1,2,1,2,1,434.7,452.1,550.9,439,720,A,F,4,B,B,C,A,A,A,A,519.34,A
16,F,0,1,1,2,1,390.6,448.8,449.8,391.1,540,B,E,5,B,B,B,A,B,C,A,444.06,A
18,M,1,3,1,2,1,555.1,558.2,558.7,554.1,640,H,D,2,B,C,C,A,A,C,B,573.22,B
17,M,1,2,1,2,1,419,529.7,532.6,606.6,600,H,E,3,E,B,C,A,A,C,A,537.58,B
17,F,1,4,,2,1,619,641.1,593.8,678.9,920,C,C,3,B,B,C,A,A,C,A,690.56,B
