NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ENSINO,TP_ESCOLA,TP_LOCALIZACAO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q008,Q009,Q010,Q011,Q022,Q024,MEDIA_NOTAS,Q025
18,M,0,0,1,2,1,392.8,332,473.8,533.3,460,C,C,3,B,B,D,A,A,C,A,438.38,A
20,F,1,3,1,2,1,458.2,466.5,541.9,520.5,800,B,B,6,B,B,D,A,B,C,B,557.42,A
17,F,1,1,1,3,1,641.8,644.9,601.9,760.6,880,F,F,5,P,E,E,E,A,E,C,705.84,B
20,F,1,1,1,2,1,399.3,444.1,398.5,512.7,560,C,C,4,C,C,C,A,A,E,A,462.92,B
17,F,1,3,1,3,,513.4,479.4,543.5,498,360,F,E,3,E,C,C,B,B,D,C,478.86,B
18,F,1,3,1,2,2,392.9,387.3,368.7,412.2,580,B,E,5,B,B,C,A,A,B,B,428.22,B
19,M,1,3,1,2,1,442.6,548.4,500,430.1,560,C,C,2,A,B,D,A,A,B,A,496.22,B
19,F,1,3,1,2,1,497.9,504.3,573.4,454.9,480,B,E,4,B,B,C,A,B,D,B,502.1,B
19,F,1,3,1,2,1,399.9,526.1,513.1,544.5,620,D,C,3,B,B,C,A,A,D,B,520.72,B
18,F,1,2,1,2,1,472.3,479,514.8,446.3,580,B,C,3,C,B,C,A,A,C,A,498.48,B
19,F,0,3,,2,1,505.9,496.6,515.2,471.1,900,A,B,9,A,B,D,A,B,B,A,577.76,B
17,F,1,1,1,3,1,704.6,722,647.7,839.6,940,G,G,4,P,E,D,C,A,E,E,770.78,B
18,F,1,2,1,2,,344.4,418.1,474,377.9,460,B,D,5,B,B,E,A,B,B,A,414.88,B
17,F,1,3,1,2,1,401.1,425.3,498.7,407.1,280,D,E,4,C,B,D,A,B,C,B,402.44,B
17,M,1,3,1,2,1,377.5,414.8,441.7,419.9,620,D,B,4,B,B,C,A,A,C,A,454.78,B
18,F,1,3,,2,1,457.6,392,373.1,430.5,540,D,D,5,B,B,C,A,B,C,A,438.64,B
20,F,1,3,1,2,2,396.3,530.9,490.4,430,600,B,C,3,B,B,C,A,A,B,A,489.52,B
18,F,1,1,1,3,1,498.9,473.1,495.7,443,860,G,G,7,K,E,E,D,A,E,E,554.14,B
16,F,1,1,1,2,,362,452.1,427.9,504.2,540,E,E,3,C,B,C,A,B,C,A,457.24,B
19,F,1,3,1,2,1,407.5,388.4,486.6,415.8,660,B,D,6,B,B,B,A,A,C,A,471.66,B
17,F,1,3,1,2,1,433.9,533.1,518.8,616.6,820,E,E,3,B,B,B,A,A,B,A,584.48,B
17,F,1,2,1,2,1,437.5,503.1,563.8,613.8,600,D,E,4,A,B,C,A,B,C,A,543.64,B
17,M,1,1,1,2,1,437.7,419,501.1,466,540,B,D,3,B,B,C,A,A,B,A,472.76,B
18,M,1,3,1,2,1,471,542.7,568.6,727.8,720,D,F,4,C,B,C,A,A,D,A,606.02,B
18,F,1,3,1,2,1,428.7,480,486.1,538.6,620,D,C,8,B,B,C,A,A,C,A,510.68,A
17,F,1,3,1,2,1,407.7,478,498.5,524.9,720,D,D,6,B,B,C,A,B,D,A,525.82,A
17,F,1,4,1,2,1,427.6,399,467.9,512.4,540,B,B,5,B,B,C,A,A,B,A,469.38,A
17,F,1,1,1,3,,531.9,543.9,553,510.2,780,C,E,4,C,C,C,B,A,D,B,583.8,B
20,F,1,3,1,2,1,381.2,432.6,468.9,421.4,400,B,B,5,B,B,B,A,A,B,A,420.82,A
19,F,1,0,1,2,1,365.6,391.1,497.5,462.5,440,C,A,6,B,B,D,A,B,A,A,431.34,A
18,F,1,3,1,2,1,363.4,437.6,483.6,440.4,540,B,C,7,B,B,C,A,A,D,A,453,A
17,F,1,3,1,2,1,386.1,517.5,502.3,431.6,820,E,D,4,B,A,C,A,A,B,A,531.5,A
17,F,1,4,1,2,1,441.6,488.1,420.6,470.8,280,B,B,5,B,B,C,A,A,B,A,420.22,B
18,M,1,2,1,2,1,495.4,563.7,544.7,573.9,700,B,C,4,B,B,C,A,A,C,A,575.54,A
18,M,1,3,1,2,1,417.2,415.1,432.5,368.8,480,C,E,3,B,B,C,A,A,B,A,422.72,A
18,M,1,1,1,2,1,522,411,537.9,482.2,600,B,E,7,C,B,C,A,A,B,A,510.62,A
19,M,1,3,1,2,1,439.4,550.9,561.9,454.6,520,E,E,4,G,B,C,A,A,E,B,505.36,B
17,M,1,1,1,2,1,457.3,574,448.7,642.1,640,C,E,5,B,B,C,A,A,C,A,552.42,A
17,F,1,2,1,2,1,392.9,522.8,540.1,476,500,F,E,4,C,C,D,A,B,D,A,486.36,B
20,M,1,1,1,2,1,429.7,460.1,486.8,502.3,660,C,C,5,B,B,C,A,A,C,A,507.78,A
18,F,1,1,1,2,1,520.3,590.6,578,544.8,680,H,C,5,C,B,C,A,B,E,A,582.74,B
19,M,1,3,1,2,1,535.1,390.3,465.4,445.8,560,C,B,4,B,B,C,A,A,C,A,479.32,A
18,M,1,1,1,3,1,596.1,665.3,599.6,871.2,900,F,E,3,K,C,C,B,A,D,A,726.44,B
17,F,1,1,1,2,1,384,525.3,561.1,430.2,600,B,E,4,B,B,C,A,A,B,A,500.12,A
17,M,1,3,1,2,1,477.2,573.7,585.1,579.6,840,B,C,5,B,B,C,B,A,D,B,611.12,B
20,F,1,3,1,2,1,382.6,432,423.9,437.1,560,C,B,5,B,B,C,A,A,C,A,447.12,A
19,F,1,3,1,2,1,439.4,477.1,468.2,403.4,640,A,B,7,B,B,C,A,B,C,A,485.62,B
18,F,1,1,1,2,1,378.4,391.9,446.4,412.5,480,B,B,4,B,B,C,A,A,C,A,421.84,A
18,M,1,1,1,2,1,555.4,618.9,560.9,795.8,580,G,F,4,G,E,D,B,A,E,C,622.2,B
19,M,1,1,1,3,,579.1,553.1,561.6,603.8,720,E,E,2,B,C,C,B,A,C,B,603.52,B
18,M,1,3,1,2,1,454.3,350.9,419,540.5,460,B,C,4,A,B,D,A,B,C,A,444.94,A
17,F,1,3,1,2,1,500.2,450.2,512.9,449.2,480,E,F,3,A,C,D,B,A,D,A,478.5,A
17,M,1,3,1,2,1,501.8,509,523.7,502.1,720,B,H,2,B,B,B,A,A,C,A,551.32,A
29,F,1,3,,2,1,497.3,399.2,539.6,638.1,580,B,H,5,C,B,D,A,A,B,A,530.84,B
18,F,1,3,1,2,,497.9,522.8,542.3,459,560,B,B,3,B,B,C,A,A,D,A,516.4,B
19,M,1,3,1,2,1,525.6,562.8,554.1,579.1,580,C,F,4,B,B,C,A,B,C,A,560.32,B
18,F,1,3,1,3,1,476.4,468.3,472.7,422.2,660,E,E,4,G,C,C,B,A,D,B,499.92,B
19,F,1,3,1,2,1,433.1,355.2,499.8,425.1,620,B,B,4,B,B,C,A,A,C,A,466.64,A
17,M,1,3,1,3,,434,477,509.4,444.6,760,A,A,3,C,C,C,B,A,C,B,525,B
17,M,1,2,1,2,2,532.9,453.9,538.5,517.2,860,F,E,4,C,B,C,B,A,C,B,580.5,B
17,M,1,3,1,2,1,608.6,645,579.1,671,920,C,D,4,C,B,C,A,A,C,B,684.74,B
19,M,1,3,,2,,422.7,365.8,440.2,441.6,260,E,C,8,B,C,D,A,A,C,A,386.06,A
17,F,1,1,1,3,1,625.6,575.5,557.2,650.2,700,F,G,4,I,E,E,C,A,E,C,621.7,B
18,F,1,3,1,2,1,369.4,490.8,461.3,449.7,580,B,B,5,B,B,C,A,B,B,A,470.24,A
43,M,1,3,,2,1,448.7,512.8,517.8,405.7,760,A,A,1,B,B,B,A,A,B,A,529,B
21,M,1,1,1,2,1,531.5,524.4,547.2,519.5,720,H,C,5,C,B,C,A,A,D,B,568.52,B
18,F,1,2,1,2,1,402.8,482.1,428.2,436.8,0,C,A,3,B,B,C,A,B,C,A,349.98,B
21,M,1,3,1,2,1,376.8,468.8,447.5,413.5,380,C,C,5,B,B,C,A,A,A,A,417.32,A
17,M,1,2,1,2,1,450.9,473.7,537.4,504.6,460,H,H,5,A,B,C,A,A,B,A,485.32,A
18,M,1,1,1,2,1,564.4,645.5,590.1,716.1,640,D,C,4,C,B,C,B,B,B,B,631.22,B
18,M,1,3,1,2,1,483.2,428.2,526.8,544.7,580,C,C,7,C,B,C,A,A,E,B,512.58,B
17,M,1,1,1,3,1,568.7,616.3,575.8,769.8,800,G,G,3,O,C,D,B,A,D,D,666.12,B
17,F,1,1,1,2,1,430.3,450,466.4,422.5,520,C,C,3,B,B,C,A,A,B,A,457.84,A
18,M,1,3,1,2,,484,457.9,452.5,446.2,520,E,E,5,B,C,C,A,A,C,A,472.12,B
17,F,1,3,1,2,1,436.9,440.6,395.3,421.5,220,B,B,5,A,B,C,A,A,B,A,382.86,A
17,M,1,1,1,3,1,633.6,594.4,596.8,612.8,600,F,G,5,K,C,D,B,A,E,B,607.52,B
17,M,1,3,1,2,1,552.5,528.3,524.6,676.1,520,B,B,5,C,B,C,A,B,B,A,560.3,B
18,F,1,3,1,2,1,374.6,498.7,469,461.6,420,H,C,2,B,A,B,A,A,D,B,444.78,B
18,F,1,3,1,2,1,393.9,451.6,463.5,403.5,740,D,C,5,B,B,C,A,A,C,A,490.5,B
20,M,1,3,1,2,1,374.5,436.1,406.1,402.8,0,B,B,4,B,B,C,A,A,D,A,323.9,A
23,M,1,2,,2,1,436.1,381.6,395,364.6,260,B,B,5,B,B,C,A,A,B,A,367.46,A
17,F,1,3,1,3,,581,484.9,579.8,615,720,E,F,3,F,C,D,B,A,D,B,596.14,B
17,M,1,3,1,2,1,496.5,431.2,541.4,410.6,320,B,E,3,B,B,B,A,A,B,A,439.94,A
17,M,1,3,1,3,1,557.1,522.8,472.5,668,660,E,F,4,G,D,C,C,B,D,B,576.08,B
18,F,1,1,1,2,1,421.1,409.1,480.3,400.9,600,E,C,4,C,B,D,A,A,B,A,462.28,A
17,F,1,3,1,3,1,572.5,608.4,564.1,665.9,980,F,F,4,C,B,C,B,A,E,B,678.18,B
18,F,1,1,1,2,,478,591.1,592,445.1,560,B,B,4,C,B,D,A,A,E,A,533.24,B
18,M,1,3,1,3,1,657.2,669.1,617.8,834,960,G,F,4,Q,E,E,D,A,E,D,747.62,B
18,F,0,3,1,2,1,488.5,424.5,458.5,569.2,400,B,D,2,B,B,B,A,A,C,B,468.14,B
18,M,1,3,1,2,1,535,480.4,470.2,419.4,640,B,E,3,C,B,C,B,A,B,B,509,B
17,M,1,1,1,2,1,461.6,559.1,453.8,614.7,680,B,G,4,C,C,C,B,B,C,A,553.84,B
17,F,1,1,1,2,1,522.7,602.1,528.5,397.4,720,E,E,4,B,C,C,C,A,D,C,554.14,B
21,F,1,3,1,2,1,393.5,436.4,411.3,394.8,400,B,B,4,B,B,C,A,B,B,A,407.2,B
18,F,1,3,1,2,1,550.2,583.4,585.5,497.3,920,E,F,4,N,D,D,B,A,E,C,627.28,B
18,M,1,5,1,2,1,366.2,428.3,467.2,423.4,420,E,E,4,B,B,B,A,A,B,A,421.02,A
18,F,1,1,1,2,1,473.8,491.2,568.1,561.6,560,E,E,4,C,B,C,A,A,E,A,530.94,B
18,F,1,4,1,2,2,533,452.6,525,459.7,740,E,G,4,D,B,C,B,A,E,B,542.06,B
16,M,1,3,1,2,1,385.6,369.3,428,377.3,640,B,F,4,B,B,C,A,A,B,A,440.04,A
18,M,1,0,1,2,1,352.4,418.9,496.9,431.4,0,C,E,3,C,B,D,A,A,C,A,339.92,B
17,M,1,1,1,2,2,486.2,532.6,540.3,491.9,580,E,D,5,B,B,C,A,A,B,A,526.2,B
17,F,1,1,1,2,,453.9,444.7,494,449.5,840,B,E,3,C,C,D,B,B,D,A,536.42,B
17,F,1,3,1,2,1,398.9,508,497.7,450.4,520,A,C,4,B,B,D,A,B,C,A,475,A
19,F,1,3,1,2,1,437.3,428.9,483.4,398.4,480,E,E,6,C,B,C,B,A,E,A,445.6,B
17,F,1,1,1,3,1,611.4,647.2,611.7,852.6,900,G,G,5,N,E,E,D,A,E,D,724.58,B
16,F,1,1,1,2,1,578.6,584.3,612.8,720.3,940,E,G,4,B,C,C,B,B,D,B,687.2,B
16,M,1,3,1,2,1,582.5,558.1,549.3,749,840,E,F,4,H,C,C,B,C,D,B,655.78,B
16,M,1,1,1,2,1,535.7,598,566.9,632.8,780,C,E,5,A,B,C,A,A,B,A,622.68,A
19,F,1,3,1,2,1,549,443.7,509.4,527.5,640,H,E,5,C,B,C,A,A,B,A,533.92,B
18,F,1,3,1,2,1,388.3,400.4,521.3,421.9,680,E,C,3,B,C,D,B,A,A,B,482.38,B
17,M,1,3,1,2,1,467.4,522.9,454.3,564.5,580,C,C,4,A,B,D,A,B,C,B,517.82,B
20,M,1,0,1,2,1,407.4,459.4,441.8,416.6,540,B,D,6,B,B,D,A,A,B,A,453.04,A
18,M,1,1,1,2,1,580.6,517.1,554.2,570.9,520,C,D,5,B,C,D,B,B,E,D,548.56,B
18,F,1,3,1,2,1,382.7,448,529.2,505.9,560,E,A,7,B,B,C,A,A,D,A,485.16,A
17,F,1,2,1,2,1,377.5,428.6,456.8,412.8,440,A,B,2,B,B,C,A,A,C,A,423.14,B
17,F,1,2,1,2,1,473.1,528.9,513.1,416.3,560,H,H,3,A,C,D,A,A,D,A,498.28,B
18,M,1,4,1,2,1,515.3,520.4,495.5,431.7,480,B,B,4,C,C,D,B,A,D,A,488.58,B
19,F,1,3,1,2,1,358.4,423,434.8,424.8,480,B,D,4,C,B,C,A,A,C,A,424.2,B
18,F,1,1,1,2,1,567.2,564.1,563.7,650.6,800,E,E,4,B,B,C,A,B,C,A,629.12,A
18,F,1,3,1,2,1,503.2,545.3,572.3,443.6,620,E,E,4,D,B,C,B,A,D,A,536.88,A
18,F,1,2,1,2,1,355.2,471.8,511.3,452.5,580,C,B,5,C,B,C,A,A,C,A,474.16,B
18,F,1,1,1,3,1,502.6,561.9,535.1,546.7,500,E,E,4,C,C,E,A,A,E,B,529.26,B
18,M,1,2,1,2,1,421.3,460.3,527.4,391.5,420,A,A,3,A,B,B,A,A,B,A,444.1,A
18,M,1,3,1,2,1,483.9,373.5,430,494.6,520,E,F,4,E,C,C,B,A,A,B,460.4,B
18,M,1,3,1,2,1,429,480.7,428.6,409.9,0,D,C,2,B,B,D,A,A,B,B,349.64,B
47,F,2,3,,2,1,488.3,504.8,433.8,378.3,260,A,A,3,A,B,B,A,A,B,A,413.04,A
17,M,1,3,1,2,1,359.4,446.4,453.7,427.5,340,C,E,4,C,B,C,B,A,C,A,405.4,B
18,M,1,1,1,3,1,515.5,553.2,559.3,696,780,G,F,4,G,E,E,B,A,E,D,620.8,B
19,M,1,3,1,2,1,419.1,453.6,362.1,542.9,440,C,E,4,C,B,C,B,A,E,B,443.54,B
18,F,1,1,1,2,1,399,453.2,514.5,394.4,400,E,C,5,B,C,C,A,B,B,A,432.22,A
19,F,1,3,1,2,1,436,354.3,479.6,472.1,500,B,C,4,B,A,C,A,A,B,A,448.4,A
21,F,1,3,1,2,1,487.5,354,509.5,535.9,560,H,H,4,B,B,C,A,A,B,A,489.38,A
18,F,1,3,1,2,1,542,541.3,554.1,455,840,E,E,2,C,D,D,A,A,B,A,586.48,B
18,M,2,3,1,2,1,442.9,431.1,431.2,403.8,560,B,B,7,A,B,C,A,A,B,A,453.8,A
19,F,1,3,1,2,1,536.7,570.8,552.1,572,480,C,C,5,C,B,C,A,A,B,A,542.32,A
18,F,1,3,1,2,1,378.8,415.2,507.2,549.8,680,C,D,4,B,B,C,A,A,C,A,506.2,B
17,F,1,3,1,3,1,387.5,477.8,467.3,573.3,560,E,F,4,N,B,C,A,A,E,B,493.18,B
17,F,1,3,1,2,1,428.9,339.2,511.6,447.6,620,A,F,8,C,B,B,A,A,B,A,469.46,A
17,F,1,3,1,2,1,457.5,485,528,455.3,600,D,B,4,B,B,B,A,A,B,A,505.16,A
17,M,0,3,1,3,1,623,625.8,580.4,766.6,760,C,E,4,E,D,D,B,C,D,C,671.16,B
17,M,1,3,1,2,1,484.8,483.3,563.3,420.2,560,H,E,3,B,B,C,A,B,D,A,502.32,B
17,F,1,3,1,2,1,411,472,491.4,374.5,680,A,D,4,B,B,B,A,A,E,B,485.78,B
17,M,1,4,1,2,1,543.9,527.9,514.1,422.7,580,E,E,4,B,B,C,A,A,C,A,517.72,B
19,F,1,1,1,2,1,470.3,441.9,461.2,393.7,320,B,C,4,C,B,C,A,B,C,A,417.42,B
18,F,1,3,1,2,1,402.7,412.1,408.1,436,580,B,B,4,B,B,D,A,C,C,A,447.78,A
25,F,1,1,1,2,1,403.9,395.5,459.8,416.9,640,C,B,3,C,B,C,A,A,C,A,463.22,B
18,M,1,3,1,2,1,332.7,356.3,522.3,480.3,500,E,E,7,C,C,D,B,A,D,B,438.32,B
18,F,1,1,1,2,1,435.3,365.9,507.2,463,320,E,D,4,B,C,C,A,A,D,A,418.28,B
18,F,1,1,1,2,1,434.3,424.9,498.2,364.3,580,E,E,5,C,B,C,A,A,C,B,460.34,B
16,M,1,1,1,3,1,612.1,627.9,625.4,779.5,940,A,D,4,B,B,C,A,B,C,B,716.98,B
17,M,1,1,1,2,,596.6,624,551.4,496,800,B,E,3,C,B,C,A,B,C,A,613.6,B
19,F,1,3,1,2,1,401,497.4,486,464.2,700,C,C,7,B,B,B,A,A,B,A,509.72,A
17,F,1,3,1,2,1,517.9,512.5,506.6,595.3,840,E,B,4,B,B,C,A,A,C,A,594.46,B
17,M,1,5,1,2,1,564.5,537,588.6,575.2,880,E,F,5,F,C,D,B,A,E,B,629.06,B
18,M,1,2,1,2,1,530.9,520.3,558.7,524.3,660,E,D,3,B,B,C,A,A,D,A,558.84,B
19,M,1,3,1,2,1,441.6,441.3,453.1,404,620,B,B,5,A,B,C,A,A,B,A,472,A
17,M,0,2,1,2,1,441.8,478,547,512.8,320,E,E,4,B,B,C,A,A,C,A,459.92,B
25,F,1,3,,2,1,387.4,347,401.4,484.5,520,B,D,2,B,B,B,A,A,B,A,428.06,B
17,F,1,3,1,2,1,524.8,528.9,488.6,451.8,600,H,F,4,C,B,C,A,A,D,A,518.82,B
17,F,1,3,1,2,1,544.4,557.9,550.7,470.8,760,C,C,6,B,B,B,A,B,B,A,576.76,B
20,F,1,3,1,2,1,520.3,613.4,541.4,458.5,860,B,A,8,C,B,C,A,B,B,A,598.72,A
18,F,1,4,1,2,,367.8,457.3,437.7,391.7,600,D,C,4,B,B,C,A,A,A,A,450.9,A
17,M,1,2,1,3,1,584.1,590.2,525.5,677.3,800,G,G,5,P,D,D,B,A,E,B,635.42,B
18,M,1,2,1,2,1,383.4,439,484.8,452.8,360,E,F,3,C,B,C,B,B,D,A,424,B
18,F,1,3,1,2,1,341.2,460,487.6,454.3,500,H,D,4,B,B,D,A,A,B,A,448.62,B
17,F,1,2,1,2,1,488.8,453,507,408.2,580,B,B,4,A,B,B,A,A,B,A,487.4,B
21,F,1,3,1,2,1,394.7,425.1,428.8,423.8,0,B,B,3,B,B,C,A,A,C,A,334.48,B
18,F,1,3,1,2,1,505,527.8,503.9,413,600,D,E,2,B,B,D,B,B,B,B,509.94,B
17,F,1,3,1,2,,360.4,467.8,371.7,472.6,680,D,C,4,B,B,C,A,A,C,B,470.5,B
17,F,1,3,1,3,1,532.4,529.4,503.1,694.9,920,E,E,4,E,C,C,B,A,D,B,635.96,B
18,F,1,3,1,2,1,378.9,401,528.4,529.6,440,A,A,4,B,B,C,A,A,B,A,455.58,A
32,M,1,3,,2,1,515,472.5,531.9,628.4,700,C,A,4,C,B,D,B,B,B,A,569.56,B
17,F,1,3,1,2,2,362.9,414.3,438.7,399.7,580,E,E,4,B,B,C,A,A,C,A,439.12,B
17,M,1,3,1,2,1,481.6,441,505.6,449.2,640,A,E,5,B,B,C,A,A,B,A,503.48,A
21,F,1,3,1,2,,446,483.1,516.7,402.2,520,E,E,3,B,B,C,A,A,C,A,473.6,A
16,M,1,1,1,2,1,448.3,536.7,521.3,491.9,580,C,G,4,E,B,C,B,A,B,A,515.64,A
17,F,2,3,1,2,,367.4,476.2,519.2,407.7,640,H,H,4,A,B,B,A,A,E,A,482.1,B
16,F,1,3,1,2,1,399.1,407.4,494.5,372.3,380,A,A,5,B,A,B,A,A,B,A,410.66,B
18,F,1,1,1,2,1,405.4,413.6,484.4,497.9,600,D,B,4,B,A,C,A,B,D,A,480.26,B
17,M,1,3,2,2,1,556,603.6,527.1,605,800,F,E,5,F,B,C,B,A,B,B,618.34,B
17,F,1,1,1,2,1,424.4,536.6,570.1,554.9,640,D,E,5,C,D,D,A,A,E,B,545.2,B
22,M,1,1,1,2,1,455.2,537.9,501.6,484,620,B,B,2,B,B,B,A,A,B,A,519.74,A
16,F,1,3,1,2,1,395.3,480.8,448.2,437.9,580,D,E,3,B,B,B,A,A,B,A,468.44,A
17,F,1,3,1,2,1,445.7,511.5,501.6,509.6,460,H,B,8,B,B,C,A,B,E,B,485.68,B
17,M,0,2,1,2,,384.4,501,469.8,478.5,620,B,B,3,D,C,D,A,A,C,B,490.74,A
19,M,1,3,1,2,1,491.1,376.8,448.5,359.4,500,B,B,6,B,B,D,A,A,D,A,435.16,B
18,F,1,1,1,2,1,475.6,428.7,421.4,402.8,540,B,E,4,B,B,C,A,B,B,A,453.7,B
17,M,1,3,1,2,1,379,428.3,466.8,416.1,0,A,E,5,B,B,C,A,A,B,A,338.04,B
17,F,1,3,1,2,1,455.5,394.1,421.2,454.9,360,B,E,5,B,B,B,A,A,B,A,417.14,B
18,M,1,3,1,2,1,541.8,513.9,541.5,639.2,600,B,B,4,B,B,B,A,B,D,A,567.28,A
18,F,1,4,1,2,1,426.9,356.8,387.6,394.3,520,B,B,9,A,B,C,A,A,B,A,417.12,B
17,F,1,3,1,2,1,378.8,409.5,480,463.9,520,A,F,3,A,B,C,A,A,B,A,450.44,A
18,F,1,3,1,2,1,376.5,558.8,509.8,396.9,680,C,C,4,B,B,C,A,A,B,A,504.4,A
18,F,1,3,1,2,1,425.6,383.5,442.6,517.6,500,A,B,3,B,B,C,A,A,C,A,453.86,B
18,M,1,3,1,2,1,355.7,367.5,440.7,497.4,360,B,B,5,B,B,B,A,A,B,A,404.26,A
19,F,1,3,,2,,461.6,483.3,553,440.4,780,E,B,4,C,B,C,A,A,D,B,543.66,B
16,F,1,1,1,3,1,500.2,502.5,528.2,443.9,720,D,E,3,C,B,C,B,A,D,B,538.96,B
18,M,1,3,1,2,1,448.3,465.1,525.5,460.2,580,C,C,4,B,B,C,A,B,C,A,495.82,A
18,M,1,1,1,2,,341.8,452.3,468.8,369.9,700,D,E,5,O,D,E,D,A,E,C,466.56,B
18,M,1,2,1,2,1,544.4,427.5,444,456.1,640,D,E,4,C,B,C,A,B,E,A,502.4,A
16,M,1,3,1,3,,589.1,585,583.2,762.2,600,C,G,2,D,C,D,A,B,C,B,623.9,B
18,M,1,3,1,2,1,408.2,440.6,403.7,421.4,500,B,E,5,B,B,C,A,A,C,B,434.78,B
20,M,1,3,1,2,1,349.1,412.3,343.7,423.3,660,D,B,5,B,B,C,A,A,B,A,437.68,B
20,M,1,1,1,2,,380,397.5,414.6,438.8,0,E,E,2,A,B,C,A,B,C,A,326.18,B
18,F,1,4,1,2,1,513.6,594.8,569.3,715,740,C,B,4,E,B,B,B,B,D,A,626.54,B
17,F,1,3,1,2,1,480.1,451.4,552.7,524.3,720,C,D,5,C,A,B,A,A,E,B,545.7,B
18,F,1,2,1,2,,526.3,548.8,538.3,424.3,800,E,E,6,B,B,C,A,A,E,A,567.54,B
18,M,1,2,1,2,1,481.7,457,504,445.7,540,E,E,3,C,C,C,B,B,C,B,485.68,B
17,F,1,1,1,3,,458.4,464.4,524.4,500.5,680,E,E,6,C,B,C,B,A,C,A,525.54,B
16,F,1,3,1,2,1,404.6,504,545.1,475.7,720,C,F,4,C,B,C,A,A,C,B,529.88,B
17,M,1,1,1,2,1,374.5,516.2,482.4,471.3,460,B,E,4,B,B,C,A,A,B,A,460.88,A
17,F,1,3,1,2,,555.8,562.6,591.2,572.2,760,H,E,5,C,C,D,A,A,D,A,608.36,B
17,M,1,1,1,2,1,568.4,587.8,576,750.5,680,H,E,3,C,B,C,A,A,C,A,632.54,B
18,F,1,3,1,2,1,352.7,398,512.4,481.5,580,B,A,4,B,B,C,A,B,B,A,464.92,A
20,F,1,3,,2,1,384.2,509.8,467.1,402.9,420,B,C,2,B,B,B,A,A,A,A,436.8,A
17,F,1,2,1,2,1,342.8,475,496.1,418.7,540,B,D,4,A,B,B,A,A,B,A,454.52,A
17,F,1,3,1,2,2,519.6,534,558.9,484,720,A,D,5,B,B,C,A,A,B,A,563.3,A
17,M,1,1,1,3,1,705.2,711.2,643.3,906.8,960,F,F,3,N,E,D,C,A,D,C,785.3,B
16,F,1,1,1,2,1,398.1,555.4,525.4,639.8,500,E,E,4,C,B,D,B,A,C,A,523.74,A
18,M,1,2,1,2,1,396.7,343.7,326.3,376.5,500,D,C,5,B,B,C,A,B,D,A,388.64,A
18,F,1,3,1,2,1,379,375.5,477.8,441.9,560,B,B,5,C,B,C,A,A,C,B,446.84,B
18,M,1,1,1,3,1,632.7,610.9,606.9,719.4,740,F,F,4,N,E,D,C,A,E,D,661.98,B
16,F,1,1,1,2,1,506.3,474.8,532.9,495,620,E,B,3,B,B,C,A,A,D,A,525.8,B
17,M,1,3,1,2,1,515.9,542.7,544.9,523.9,580,D,C,6,B,B,C,A,A,C,A,541.48,B
18,M,1,3,1,3,1,679.3,642.4,608.5,845.4,920,C,H,3,J,C,E,B,B,D,B,739.12,B
16,F,1,3,1,3,1,587.5,566.9,568.6,481.5,620,E,G,4,B,B,C,A,B,C,A,564.9,B
17,M,1,1,1,2,1,560,586.7,589.8,414.4,640,E,E,3,C,C,D,A,A,D,B,558.18,B
17,F,1,3,1,2,,498.5,428.4,504.6,481.2,660,C,E,5,D,B,C,A,C,D,B,514.54,B
17,M,1,1,1,2,,523,499.8,419.9,413.8,440,E,F,5,E,B,C,A,A,E,B,459.3,B
19,M,1,0,1,2,1,447.6,394.7,406.7,428.3,280,D,A,5,B,B,C,A,B,B,A,391.46,A
18,F,0,1,1,2,1,392.5,421.2,434.1,516.2,240,A,A,10,A,B,C,A,B,B,A,400.8,A
18,M,1,1,1,3,1,577.7,565.3,541.3,617.5,900,C,E,6,N,E,E,B,A,E,C,640.36,B
17,M,1,3,1,2,1,437,475.9,493,583.4,560,H,H,2,B,B,C,A,A,C,A,509.86,A
17,F,1,4,1,2,1,441.6,475.5,469.3,465.6,440,C,C,4,C,B,C,A,B,B,A,458.4,B
19,F,1,1,1,3,,361,519,506.2,488.5,860,H,E,5,H,C,C,B,A,E,B,546.94,B
19,F,1,2,1,2,1,441.3,481.4,475.7,432.3,500,C,C,3,B,B,C,A,A,D,B,466.14,B
17,M,1,1,1,2,1,549.7,462.6,585.7,646.7,900,E,F,2,C,B,C,B,A,B,B,628.94,B
18,F,1,3,1,2,1,553.9,519.4,599.8,626.2,780,E,G,5,F,B,D,A,A,E,B,615.86,B
19,F,1,3,1,2,1,538.8,535.7,491.7,394.1,320,A,B,5,C,B,D,A,C,D,A,456.06,B
17,F,1,3,1,2,1,453.9,535.6,512.6,491.8,640,B,B,3,B,B,C,A,B,B,A,526.78,B
17,F,0,0,1,2,1,367.6,493.7,511.8,368.3,620,A,B,4,B,B,D,A,C,E,B,472.28,B
17,M,1,1,1,3,1,578.5,619.3,601.7,777.4,920,G,G,4,L,E,E,B,A,E,E,699.38,B
18,M,1,3,1,3,,448.8,444.2,413.8,392,580,B,C,4,A,B,C,A,A,C,A,455.76,B
19,F,1,3,,2,1,367.6,351.3,471.3,449,340,H,D,5,B,B,D,A,A,C,A,395.84,B
